CAT A,,,,,CAT B,,,
,,,,,,,,
PRICE,QUOTA,BIDS,TIME,,PRICE,QUOTA,BIDS,TIME
,,,,,,,,
1,978,50,12:00, ,1,1035,55,12:00
1,978,59,12:30, ,1,1035,70,12:30
1,978,156,13:00, ,1,1035,89,13:00
1,978,201,13:30, ,1,1035,101,13:30
1,978,284,14:00, ,1,1035,386,14:00
1,978,351,14:30, ,1,1035,460,14:30
1,963,599,15:00, ,1,1023,657,15:00
1,963,961,15:30, ,37001,1023,1038,15:30
36801,963,1047,15:45, ,44004,1023,1153,15:45
38621,963,1165,15:50, ,47000,1023,1280,15:50
38677,963,1180,15:51, ,47002,1023,1303,15:51
39210,978,1546,15:52, ,47016,1035,1620,15:52
39303,978,1537,15:53, ,47089,1035,1646,15:53
39304,978,1540,15:54, ,47260,1035,1648,15:54
39548,978,1570,15:55, ,47589,1035,1674,15:55
39670,978,1573,15:56, ,47905,1035,1681,15:56
40003,978,1599,15:57, ,48005,1035,1686,15:57
40009,978,1606,15:58, ,48696,1035,1691,15:58
40580,978,1619,15:59, ,48892,1035,1699,15:59
40609,978,1619,16:00, ,49001,1035,1704,16:00
